input_es,input_en,icd10pcs_code,icd10pcs_term
MIOMECTOMIA LAPAROSCOPICA VS LAPAROTOMIA,LAPAROSCOPIC MYOMECTOMY VS LAPAROTOMY,,
REMODELACION MENISCAL RODILLA DERECHA,RIGHT KNEE MENISCAL REMODELING,,
COLECISTECTOMIA + HERNIORRAFIA UMBILICAL,CHOLECYSTECTOMY + UMBILICAL HERNIORRHAPHY,,
SALPINGUECTOMIA LAPAROSCOPIA Y POLIPEPTOMIA VIA HISTEROSCOPICA.,LAPAROSCOPY SALPINGECTOMY AND HYSTEROSCOPIC POLYPEPTOMY.,,
MAMOPLASTIA DE REDUCICON,REDUCTION MAMMOPLASTY,G8876,Doc reas no min inv dx
"RSECCION LESION FEMUR IZQUIERDO, OSTEOSINTESIS","REsection LEFT FEMUR INJURY, OSTEOSYNTHESIS",,
CORRECIÓN DE ESCOLIOSIS,SCOLIOSIS CORRECTION,G9945,Pt w/cancer scoliosis
DESCOMPRESIN Y RECONSTRUCCION DEORBITA Y PARPADOS   LADO DERDCHO,DECOMPRESSION AND RECONSTRUCTION OF ORBIT AND EYELIDS RIGHT SIDE,,
RESECCION ANTERIOR DE RECTO LAPAROSCOPICA + MANEJO DE ENDOMETRIOSIS,LAPAROSCOPIC ANTERIOR RECTAL RESECTION + MANAGEMENT OF ENDOMETRIOSIS,,
VITRECTOMIA POSTERIOR + EXTRACCION CRISTALINO OI,POSTERIOR VITRECTOMY + LEAR LENS EXTRACTION,,
ARTROSCOPIA DE HOMBRO DER,RIGHT SHOULDER ARTHRSCOPY,C1605,"Pmkr, dual, leadless"
"FISTULECTOMIA ANLA, COLGAJO.","ANNUAL FISTULECTOMY, FLAP.",G0444,Depression screen annual
RESONANCIA MAGNETICA NUCLEAR CEREBRAL,BRAIN NUCLEAR MAGNETIC RESONANCE,,
ENDOSCOPIA-COLONOSCOPIA TOTAL,TOTAL ENDOSCOPY-COLONOSCOPY,C9779,Esd endoscopy or colonoscopy
ABLACION CUERPO CILIAR,CILIARY BODY ABLATION,,
RESECCION /TENOSINOVECTOMIA,RESECTION/TENOSINOVECTOMY,G9613,Doc post surg anatomy
CUADRANTECTOMIA + COLGAJO MAMA IZQ,QUADRANTECTOMY + LEFT BREAST FLAP,,
"CESAREA, POMEROY","CESAREA, POMEROY",S9438,Cesarean birth class
TIROIDECTOMIA TOTAL MAS  VACIMIENTO CENTRAL,TOTAL THYROIDECTOMY PLUS CENTRAL VACUUM,,
ENDOSCOPIA DIGESTIVA ALTA + COLONOSCOPIA,UPPER DIGESTIVE ENDOSCOPY + COLONOSCOPY,C9901,Endo defect closure gi tract
RESECCION TUMOR URETRAL CON URETERORENOSCOPIO FLEXIBLE.,URETHRAL TUMOR RESECTION WITH FLEXIBLE URETERORENOSCOPE.,,
QX HIPOSPADIA,QX HYPOSPADIA,,
LAPAROSCOPIA MAS LIBERACION DE BRIDAS,LAPAROSCOPY PLUS FLANGE RELEASE,,
RMN ABDOMEN + PELVI,MRI ABDOMEN + PELV,C8937,Cad breast mri
TIMPANOPLASTIA BILATERAL,BILATERAL TYMPANOPLASTY,L1690,Combination bilateral ho
RESECCION PARCIAL DE METATARSIANOS  DE PIE IZQUIEROD,PARTIAL RESECTION OF METATARSIANS OF THE LEFT FOOT,,
"HEMITIROIDECTOMIA DERECHA RETROESTERNAL, BRONCOSCOPIA","RETROSTERNAL RIGHT HEMITYROIDECTOMY, BRONCHOSCOPY",,
CIRUGIA DE SUGARBAKER,SUGARBAKER SURGERY,G9643,Elective surgery
EXAMEN OFTALMOLOGICO BAJO SEDACION.,OPHTHALMOLOGICAL EXAMINATION UNDER SEDATION.,,
CIRUGIA DE BANKART Y HILL,BANKART AND HILL SURGERY,,
NEFROLITOTOMÍA PERCUTÁNEA IZQUIERDA,LEFT PERCUTANEOUS NEPHROLITHOTOMY,G8395,Lvef>=40% doc normal or mild
TENOSINOVECTOMÍA MÁS RESECCIÓN DE GANGLIÓN DE MANO IZQUIERDA.,TENOSINOVECTOMY PLUS LEFT HAND GANGLION RESECTION.,,
COLECISTECTOMÍA POR LAPAROSCOPIA,LAPAROSCOPY CHOLECYSTECTOMY,G0342,Laparoscopy islet cell trans
TIROIDECTOMIA PARCIAL ABIERTA,OPEN PARTIAL THYROIDECTOMY,L5321,Ak open end sach
CORRECCION QUIRÚRGICA EXOSTOSIS I METATARSIANO PIE DERECHO,SURGICAL CORRECTION EXOSTOSIS I METATARSAL RIGHT FOOT,,
REEMPLAZO CADERA DER,RIGHT HIP REPLACEMENT,L5702,Replace socket hip
SECUESTRECTOMIA/FIJACION,SEQUESTRECTOMY/FIXATION,S2115,Periacetabular osteotomy
ARTROSCOPIA DE HOMBRO DERECHO + REPARACION MANGUITO ROTADOR,RIGHT SHOULDER ARTHROSCOPY + ROTATOR CUFF REPAIR,,
"BIOPSIA VESICAL, FULGURACION ENDOSCOPICA","BLADDER BIOPSY, ENDOSCOPIC FULGURATION",,
EVDA/COLONOSCOPIA,EVDA/COLONOSCOPY,G6019,Colonoscopy lesion removal
RESECCION PAROTIDA DERECHA,RIGHT PAROTIDAL RESECTION,G9613,Doc post surg anatomy
ENDOSCOPIA/PH IMPEDANCIOMETRIA,ENDOSCOPY/PH IMPEDANCIOMETRY,C9779,Esd endoscopy or colonoscopy
REEMPLAZO PARCIAL CODO,PARTIAL ELBOW REPLACEMENT,L6031,Rep interface handfng molded
RESOANACIA MAGNETICA NUCLEAR DE CEREBRO,NUCLEAR BRAIN MAGNETIC RESONACY,,
MAPEO ABLACION,ABLATION MAPPING,C1732,"Cath, ep, diag/abl, 3d/vect"
RESECCION DE GANGLION Y TENOSINOVECTOMIA,GANGLION RESECTION AND TENOSYNOVECTOMY,,
EMBOLIZACION DE MIOMAS UTERINOS .,EMBOLIZATION OF UTERINE MYOMAS.,G9962,Embolization doc separatly
RESECCION AMPLIA DE LESION TORACICA  MAS COLGAJO,WIDE RESECTION OF THORACIC LESION PLUS FLAP,,
HERNIORRAFIA INGUINAL  IZQ POR LAPAROSCOPIA,LEFT INGUINAL HERNIORRHAPHY BY LAPAROSCOPY,,
BIOPSIA LESIÓN PARPADO DERECHO,RIGHT EYELID INJURY BIOPSY,,
ENDOSCOPIA DIG ALTA/COLONOSCOPIA TOTAL,HIGH DIG ENDOSCOPY/TOTAL COLONOSCOPY,,
AMPLIACIÓN DE RESECCIÓN LESIÓN MALIGNA DE PIEL,ENLARGEMENT OF MALIGNANT SKIN LESION RESECTION,,
RESECCION DE TUMOR DE OVARIO BILATERAL + CONGELACION,BILATERAL OVARIAN TUMOR RESECTION + FREEZING,,
TRANSPLANTE RENAL.,KIDNEY TRANSPLANTATION.,S2065,Simult panc kidn trans
MARZUPIALIZACION GL BARTHOLINO,MARZUPIALIZATION GL BARTHOLINO,,
ESPERMATOCELECTOMIA DERECHA,RIGHT SPERMATOCELECTOMY,C1605,"Pmkr, dual, leadless"
CIRUGIA PARA RECONSTRUCCION DE REJA COSTAL POSTERIOR IZQUIERD,SURGERY FOR RECONSTRUCTION OF THE LEFT POSTERIOR RIB GRILL,,
SEPTOPLASTIA FUNCIONAL MÁS TURBINOPLASTIA MÁS ANTROSTOMÍA DERECHA.,FUNCTIONAL SEPTOPLASTY PLUS TURBINOPLASTY PLUS RIGHT ANTROSTOMY.,,
HISTERECTOMIA + SALPINGO LAPAROSCOPICA,LAPAROSCOPIC HYSTERECTOMY + SALPINGO,S2079,Lap esophagomyotomy
RECONSTRUCCION SEGMENTO ANTERIOR MAS TRANSPLANTE DE LIMBO AUTOLOGO,ANTERIOR SEGMENT RECONSTRUCTION PLUS AUTOLOGOUS LIMBUS TRANSPLANTATION,,
HISTERECTOMIA + SALPINGUECTOMIA + OOFORECTOMIA UNILATERAL + VAGINECTOMIA PARCIAL ABIERTA .,HYSTERECTOMY + SALPINGECTOMY + UNILATERAL OOPHORECTOMY + OPEN PARTIAL VAGINECTOMY.,,
RETIRO MATERIAL OTS MANO DER,OTS MATERIAL REMOVAL RIGHT HAND,,
HISTERETOMIA ABDOMINAL TOTAL + RESECCION DE TUMOR DE OVARIO POR,TOTAL ABDOMINAL HYSTERETOMY + OVARIAN TUMOR RESECTION BY,,
HEPOATECTOMIA PARCIAL CON INTENCION DONACION,PARTIAL HEPOATECTOMY WITH DONATION INTENTION,,
ADRENALECTOMIA SUPRAPRENAL IZQUIERDA LAPAROSCOPICA,LAPAROSCOPIC LEFT SUPRAPRENAL ADRENALECTOMY,,
REPARACION HERNIA DIAFRAGMATICA VIA LAPAROSCOPICA,DIAPHRAGMATIC HERNIA REPAIR VIA LAPAROSCOPIC,,
ENDOSCOPIA Y COLONOSCOPIA .,ENDOSCOPY AND COLONOSCOPY.,C9901,Endo defect closure gi tract
ENDOSCOPIA DE VÍAS DEIGESTIVAS ALTAS + ESOFAGOGRAMA,UPPER DEIGESTIVE TRACT ENDOSCOPY + ESOPHAGOGRAM,,
"CISTOSCOPIA , BIOPSIA DE VEJIGA .","CYSTOSCOPY, BLADDER BIOPSY.",C7550,Cysto w/ bx(s) w/ blue light
RESECCIÓN QUIRÚRGICA LEISN RODILLA IZQUIERDA,LEISN SURGICAL RESECTION OF LEFT KNEE,,
ENDOSCOPIA DE EVDA .,EVDA ENDOSCOPY.,C9779,Esd endoscopy or colonoscopy
MASTECTOMIA BILATERAL .,BILATERAL MASTECTOMY.,G9708,Bilat mast/hx bi /unilat mas
RESECCIÓN QUISTE RENAL IZQUIERDO,LEFT RENAL CYST RESECTION,,
ARTRSOCOPIA DE HOMBRO IZQUIERDO .,LEFT SHOULDER ARTHROSCOPY.,S2300,"Arthroscopy, shoulder, surgi"
REPARACION DE MANGUITO ROTADOR DERECHO POR ARTROSCOPIA,RIGHT ROTATOR CUFF REPAIR BY ARTHRSCOPIC,,
NEFRECTOMIA PRA DONANTE,DONOR NEPHRECTOMY,S2061,Donor lobectomy (lung)
CORRECCIÓN DE HERNIA VENTRAL.,CORRECTION OF VENTRAL HERNIA.,C7565,Rpr aa hrn < 3 rdc w/ rmvl
"RESONANCIA DE COLUMNA CERVICAL , DORSAL","CERVICAL, DORSAL SPINE RESONANCE",,
RECONSTRUCCIÓN DE LIGAMENTO CRUZADO + AUMENTACIÓN ANTEROLATERAL,CRUCIATED LIGAMENT RECONSTRUCTION + ANTEROLATERAL AUGMENTATION,,
CX CORRECCION DE DEFORMIDAD HUESOS LARGOS LADO DER,CX CORRECTION OF LONG BONES DEFORMITY RIGHT SIDE,,
ENDOSCOPIA-COLONOSOCOPIA,ENDOSCOPY-COLONOSOCOPY,C9779,Esd endoscopy or colonoscopy
RESECCIÓN DE COLON ASCENDENTE POR LAPAROSCOPIA,ASCENDING COLON RESECTION BY LAPAROSCOPY,,
PIELOGRAFIA RETROGRADA,RETROGRADE PYELOGRAPHY,C1749,"Endo, colon, retro imaging"
TIMPANOSTOMIA DERECHA,RIGHT TYPANOSTOMY,C1605,"Pmkr, dual, leadless"
"ARTRODESIS SUBTALAR, EXTRACCION MATERIAL DE OSTEOSINTESIS","SUBTALAR ARTHRODESIS, OSTEOSYNTHESIS MATERIAL EXTRACTION",,
LIBERACION ENDOSOCPIA TUNEL CARPO IZQUIERDO,LEFT CARPAL TUNNEL ENDOSOCPY RELEASE,,
OSTEOSÍNTESIS DE TOBILLO DERECHO .,RIGHT ANKLE OSTEOSYNTHESIS.,C1605,"Pmkr, dual, leadless"
COLPORRAFIA ANTEROR Y POSTERIOR,ANTEROR AND POSTERIOR COLPORRHAPHY,,
HISTEROSCOPIA RETIRO DIU,HYSTEROSCOPY IUD REMOVAL,G9823,Endo smpl/hyst bx res doc
"HISTRECTOMIA VAGINAL , CISTOPEXIA","VAGINAL HYSTRECTOMY, CYSTOPEXY",J7303,Contraceptive vaginal ring
"ECOGRAFÍ ENDOSCÓPIUCA DE TRAQUEA , BRONQUIOS Y MEDIASTINO","ENDOSCOPIC ULTRASOUND OF THE TRACHEA, BRONCHI AND MEDIASTINE",,
VACIAMIENTO CUADRANTECTOMIA IKZQUIERDA,LEFT QUADRANTECTOMY EMPTYING,G8395,Lvef>=40% doc normal or mild
CAMBIO DE FIJADOR A PLACAS EN FEMUR Y TIBIA,CHANGE FROM FIXATOR TO PLATES IN FEMUR AND TIBIA,,
LIBERACION DE TUNEL DEL CARPO DERECHO,RIGHT CARPAL TUNNEL RELEASE,,
SIGMOIDOSCOPIA FLEXIBLE,FLEXIBLE SIGMOIDSCOPY,L5972,Flexible keel foot
ESPERMATOCELECTOMIA IZQUIERDA,LEFT SPERMATOCELECTOMY,G8395,Lvef>=40% doc normal or mild
"CESAREA, ABLACION U OCLUSION DE TROMPAS DE FALOPIO","CESAREA, ABLATION OR OCCLUSION OF FALLOPIAN TUBES",,
CIRUGIA ARTROSCOPICA MANGUITO ROTADOR DERECHO,ARTHROSCOPIC SURGERY OF THE RIGHT ROTATOR CUFF,,
RECONSTRUCCION DE LIGAMENTO CRUZADO ANTERIOR RODILLA DERECHA,RECONSTRUCTION OF THE ANTERIOR CRUCIATED LIGAMENT OF THE RIGHT KNEE,,
MIOMECTOMIA POR LAPAROSCOPIA Y TTO DE ENDOMETRIOSIS,MYOMECTOMY BY LAPAROSCOPY AND TTO OF ENDOMETRIOSIS,,
SIMULACION DE RADIOTERAPIA,RADIOTHERAPY SIMULATION,G6001,Echo guidance radiotherapy
ESTUDIO ELECTROFISIOLOGICO + ABLACION,ELECTROPHYSIOLOGICAL STUDY + ABLATION,C1892,"Intro/sheath,fixed,peel-away"
TRANSPLANTE,TRANSPLANT,S2103,Adrenal tissue transplant
"COLPORRAFIA ANTERIOR Y POSTERIOR + CINTA MEDIOURETRAL TOT, POMEROY Y PEQUEÑA REMODELACION VAGINAL","ANTERIOR AND POSTERIOR COLPORRHAPHY + MEDIOURETRAL TAPE TOT, POMEROY AND SMALL VAGINAL REMODELING",,
CIRUGIA OCULAR,EYE SURGERY,G9391,Achv refrac +1d
RESECCION DE TUMOR E MANO .,HAND TUMOR RESECTION.,E2321,Hand interface joystick
HERNIORRAFIA UMBILICAL ABIERTA Y INGUINAL BILATERAL LAPAROSCOPICA,OPEN UMBILICAL AND INGUINAL LAPAROSCOPIC BILATERAL HERNIORRHAPHY,,
AMIGDALECTOMIA + ADENOIDECTOMIA + FARINGOPLASTIA,TONSILLECTOMY + ADENOIDECTOMY + PHARYNGOPLASTY,,
"HEPATECTOMIA PARCIAL, DONACION","PARTIAL HEPATECTOMY, DONATION",L8046,Partial facial prosthesis
"IQ: HISTERECTOMIA RADICAL POR LAPAROSCOPIA, SALPINGECTOMIA BILATERAL TOTAL POR LAPAROSCOPIA","IQ: RADICAL HYSTERECTOMY BY LAPAROSCOPY, TOTAL BILATERAL SALPINGECTOMY BY LAPAROSCOPY",,
ABALCION DEL CUERPO CILIAR  OJO DERECHO,ABALTION OF THE CILIARY BODY RIGHT EYE,,
RESECCION TU OVARIO POR LAPAROTOMIA VS PROTOCOLO OVARIO,RESECTION OF YOUR OVARY BY LAPAROTOMY VS OVARIAN PROTOCOL,,
ASPIRADO DE MEDULA OSEA .,BONE MARROW ASPIRATION.,G0364,Bone marrow aspirate &biopsy
DISECCION ENDOSCOPICA SUBMUCOSA,SUBMUCOUS ENDOSCOPIC DISSECTION,C9779,Esd endoscopy or colonoscopy
CX MAXILO PAR AIMPLANTES,CX MAXILO FOR IMPLANTS,,
BIOPSIA ABIERTA DE GANGLIOS CERVICALES,OPEN BIOPSY OF CERVICAL GANGLIA,C7503,Open exc cerv node(s) w/ id
CORRECCIÓN PARED ABDOMINAL,ABDOMINAL WALL CORRECTION,L1270,Abdominal pad
MASTECTOMÍA DERECHA  Y RECONSTRUCCION,RIGHT MASTECTOMY AND RECONSTRUCTION,G9708,Bilat mast/hx bi /unilat mas
RESECCION DE LESION Y OSTEOSINTESIS TIBIA DERECHA,LESION RESECTION AND RIGHT TIBIA OSTEOSYNTHESIS,,
ADENOIDECTOMIA MAS TURBINOPLASTIA + TV BILATERALES,ADENOIDECTOMY PLUS TURBINOPLASTY + BILATERAL TV,,
RESECCION TUMOR DE HIPOFISIS POR VIA TRANSESFENOIDAL,PITUITARY TUMOR RESECTION BY TRANSSPHENOIDAL VIA,,
EVENTRORRAFIA + REPARACION DIASTASIS DE RECTOS ABDOMINALES VIA ABIERTA,EVENTHRORPHY + REPAIR DIASTASIS OF THE ABDOMINAL RECTUS VIA OPEN APPROACH,,
VACIAMIENTO IZQUIERDO,LEFT EMPTYING,G8395,Lvef>=40% doc normal or mild
RESECCION TUMOR NASAL Y BASE DE CRANEO.,NASAL TUMOR AND SKULL BASE RESECTION.,,
RNM PELVICA,PELVIC MRI,L2580,Pelvic control pelvic sling
RESONANCI MAGNETICA LUMBA SACRA.,LUMBA SACRAL MAGNETIC RESONANCE.,,
RESONANCIA DE COLUMNA CERVICAL.,CERVICAL SPINE RESONANCE.,A4261,Cervical cap contraceptive
COLONOSCOPIA PAR DISECCION DE TUMOR DE COLON,COLONOSCOPY FOR DISSECTION OF COLON TUMORS,,
TENOSINOVECTOMÍA MAS RETIRO DE MATERIAL DE OSTEOSÍNTESIS DE 4 Y 5 METACARPIANO DE MANO IZQ,TENOSINOVECTOMY PLUS REMOVAL OF OSTEOSYNTHESIS MATERIAL FROM THE 4TH AND 5TH METACARPAL OF THE LEFT HAND,,
RESONANCIA MAGNETICA DE CADERAS Y RODILLAS,MAGNETIC RESONANCE OF HIPS AND KNEES,,
RESECCIÓN E CUÑO PULMONAR DERECHA,RIGHT LUNG CUT RESECTION,,
CIRCUNCICIÓN,CIRCUMCITION,,
"RECOSNTRUCCION CADENA OSEA, MASTOIDECTOMIA, RESECCION TUMOR OIDO MEDIO","BONE CHAIN ​​RECONSTRUCTION, MASTOIDECTOMY, MIDDLE EAR TUMOR RESECTION",,
CUADRANTECTOMIA MAMARIA IZQUIERDA + COLGAJO,LEFT BREAST QUADRANTECTOMY + FLAP,,
ENDOSCOPIA DE VÍAS DIGESTIVAS + COLONOSCOPIA,DIGESTIVE TRACT ENDOSCOPY + COLONOSCOPY,C9901,Endo defect closure gi tract
FISTULECTOMÍA,FISTULECTOMY,,
CORRECCIN DE FISIURA DE PALADAR A- PALATOPLASTIA,CORRECTION OF Cleft PALATE A- PALATOPLASTY,,
RESECCION MASA SUBMANDIBULAR IZQUIERDA,LEFT SUBMANDIBULAR MASS RESECTION,,
RECONSTRUCCION OSTEOARTICULAR EN MIEMBRO INFERIOR DERECHO,OSTEOARTICULAR RECONSTRUCTION IN THE RIGHT LOWER LIMB,,
HISTERECTOMIA POR LAPAROSCOPICA,LAPAROSCOPIC HYSTERECTOMY,S2079,Lap esophagomyotomy
COLPORRAFIA ANTERIOR Y POSTERIOR + CINETA MEDIO URETRAL TOT,ANTERIOR AND POSTERIOR COLPORRHAPHY + MIDDLE URETHRAL CINETA TOT,,
HERNIORRAFIA UMBILICAL Y EPIGASRTICA,UMBILICAL AND EPIGASRTICAL HERNIORRHAPHY,,
TENOSINOVECTOMIA MANO IZQUIERDO,LEFT HAND TENOSYNOVECTOMY,G8395,Lvef>=40% doc normal or mild
RNM DE HIPOFISIS CONTRSATADA CON SEDACIÓN,MRI OF THE PITUITARY COUNTERSIZED WITH SEDATION,,
REDUCCION Y EXPLORACION CONTROL DETUTOR,REDUCTION AND EXPLORATION DETUTOR CONTROL,,
DESCOMPRESION NERV MEIDANO/NEUROLISIS ANTEBZO,MEIDAN NERV DECOMPRESSION/ANTEBZAL NEUROLYSIS,,
RECONSTRUCCIÓN DE LIGAMENTO CRUZADO ANTERIOR,RECONSTRUCTION OF ANTERIOR CRUCIATED LIGAMENT,,
EXTRACCCION EXTRA CAPSULAR MAS LENTE INTRA OCULAR.,EXTRA CAPSULAR EXTRACTION PLUS INTRA OCULAR LENS.,,
PANCREATECTOMIA DISTAL + ESPELENECTOMIA LAPAROSOCPICA,DISTAL PANCREATECTOMY + LAPAROSOCPIC SPELENECTOMY,,
RESONANCIA MAGNÉTICA MULTIPARAMETRICA DE PRÓSTATA,MULTIPARAMETRIC MRI OF THE PROSTATE,,
"RSECCION PTERIGIO, REPARACION SIMBLEFARO OJO IZQUIERDO","PTERYGIMUM RECTION, LEFT EYE SYMBLEPHARON REPAIR",,
RETIRO SUTURA CORNEA IZQUIERDA,LEFT CORNEAL SUTURE REMOVAL,,
TENOSINVOECTOMIA DE EXTENSORES DE PULGAR DE MANO DERECHA,TENOSINVOECTOMY OF THUMB EXTENDERS OF THE RIGHT HAND,,
EXPLORACIÓN VASCULAR,VASCULAR EXPLORATION,C1768,"Graft, vascular"
"TURBINOLASTIA, ADENOIDECTOMIA, FRENILECTOMÍA","TURBINOLASTIA, ADENOIDECTOMY, PHRENILECTOMY",,
COLGAJO MICROVASCULAR CIRUGIA DE CABEZA Y CUELLO,MICROVASCULAR FLAP HEAD AND NECK SURGERY,,
FASCIOTOMIA PERCUTANEA,PERCUTANEOUS FASCIOTOMY,A5200,Percutaneous catheter anchor
CUADRANTECTOMIA EN LA MAMA IZQUIERDA MAS COLGAJO,QUADRANTECTOMY IN THE LEFT BREAST PLUS FLAP,,
RNM COLUMNA LUMBAR+CERVICAL,LUMBAR+CERVICAL SPINE MRI,,
OOFORECTOMIA DERECHA POR LAPAROTOMIA,RIGHT OOPHORECTOMY BY LAPAROTOMY,,
ARTROPLASTIA MANO IZQ + INFILTRACION EN MANO DER,LEFT HAND ARTHROPLASTY + RIGHT HAND INFILTRATION,,
POLECTOMÍA INFERIOR DERECHA POR LAPAROSCOPIA,LOWER RIGHT POLECTOMY BY LAPAROSCOPY,,
"ENDOSCOPIA + COLONOSCOPIA, RESECCION DE TUMOR BENIGNO PIEL","ENDOSCOPY + COLONOSCOPY, RESECTION OF BENIGN SKIN TUMORS",,
IMPLANTE DENTAL ALOPLASTICO,ALLOPLASTIC DENTAL IMPLANT,,
"VITRECTOMIA ANTERIOR, EXTRACCION CRISTALINO + LIO OJO IZQUIERDO INICIALMENTE. PROGRAMADOS AMBOS OJOS","ANTERIOR VITRECTOMY, LENS REMOVAL + LEFT EYE IOL INITIALLY. PROGRAMMED BOTH EYES",,
RESECCION DE LESION EN REGION ANTERIOR DE TIBIA IZQUIERDO,RESECTION OF LESION IN ANTERIOR REGION OF LEFT TIBIA,,
NEFROLITOTOMÍA DERECHA,RIGHT NEPHROLITHOTOMY,C1605,"Pmkr, dual, leadless"
RMN DE AERA .,AERA NMR.,,
"HISTERECTOMIA VAGINAL, COLPORRAFIA ANTERIOR Y POSTERIOR.","VAGINAL HYSTERECTOMY, ANTERIOR AND POSTERIOR COLPORRHAPHY.",,
RESECCION DE NAVICULAR ACCESORIO PIE IZQUIERDO,NAVICULAR RESECTION LEFT FOOT ACCESSORY,,
ANEXOHISERECOTMIA TOTAL,TOTAL ANNEXOHISERECOTMY,S2118,Total hip resurfacing
IBERACION DE ESTRUCTURAS POSTERIORES TENOTOMIA DEL AQUILES,IBERATION OF POSTERIOR STRUCTURES ACHILLES TENOTOMY,,
RNM DE ABDOMEN CON MEDIO DE CONTRASTE,ABDOMEN MRI WITH CONTRAST MEDIUM,,
DISECCION ENDOSCOPICA SUB MUCOSA,ENDOSCOPIC SUBMUCOUS DISSECTION,C9779,Esd endoscopy or colonoscopy
"RESECCION DE LESION EN ANO, DESIMPACTACIÓN FECAL","RESECTION OF ANUS LESION, FECAL DISIMPACTATION",,
CRIO Y LASER AMBOS OJOS,CRIO AND LASER BOTH EYES,,
COLECSTECTOMÍA POR LAPAROSCOPIA,LAPAROSCOPY CHOLECHSTECTOMY,G0342,Laparoscopy islet cell trans
RECONSTRUCCION DE TENDON DERECHO,RIGHT TENDON RECONSTRUCTION,C1605,"Pmkr, dual, leadless"
RNM DE MII,MII MRI,C8937,Cad breast mri
CUANDRANTECTOMIA EN LA MAMA IZQUIERDA MAS COLGAJO GLANDULAR.,QUANDRANCTOMY IN THE LEFT BREAST PLUS GLANDULAR FLAP.,,
HERNIRRAFIA INGUNAL BILATERAL POR LARAPAROSCOPIA,BILATERAL INGUNAL HERNIRRAPHY BY LARAPAROSCOPY,,
REHABILIACION ORAL Y TRATAMIENTO ODONTOLOGICO,ORAL REHABILIATION AND DENTAL TREATMENT,,
HISTEROSCOPIA Y BIOPSIA,HYSTEROSCOPY AND BIOPSY,G9823,Endo smpl/hyst bx res doc
RESECCION DE GANGLION MUÑECA IZQUIERDA,LEFT WRIST GANGLION RESECTION,,
ARTROSCOPIA REVISION-SUTURA MENISCAL,ARTHROSCOPY REVISION-MENISCAL SUTURE,,
RESECCION DE LESION CONJUNTIVAL OJO DERECHO,RIGHT EYE CONJUNCTIVAL LESION RESECTION,,
BLEFAROPLASTIA PARPADOS SUPERIORES MAS CORRECCIÓN DE PTOSIS PALPEBRAL,UPPER EYELID BLEPHAROPLASTY PLUS EYELID PTOSIS CORRECTION,,
HEPATECTOMIA - DONANTE DE TRASPLANTE HEPATICO,HEPATECTOMY - LIVER TRANSPLANT DONOR,,
APENDICECTOMIA + HERNIORRAFIA INGUINAL IZQUIERDA VIA LAPAROSCOPICA,APPENDICECTOMY + LEFT INGUINAL HERNIORRHAPHY VIA LAPAROSCOPIC,,
CONIZACION EN FRIO,COLD CONIZATION,A9273,Hot/cold botle/cap/col/wrap
LAPAROSCOPIA DIAGNOSTICA/ ABLACION DE ENDOMETRIOSIS,DIAGNOSTIC LAPAROSCOPY/ABLATION OF ENDOMETRIOSIS,,
"IQ: COLPORRAFIA POSTERIOR, COLPORRAFIA ANTERIOR CON PLASTIA O REPARACION DE URETROCELE","IQ: POSTERIOR COLPORRHAPHY, ANTERIOR COLPORRHAPHY WITH PLASTY OR URETHROCELE REPAIR",,
GASTRECTOMIA SUBTOTAL,SUBTOTAL GASTRECTOMY,C9606,Perc d-e cor revasc w ami s
IMPLNATACION CATTER PARA QUIMIOTERAPIA,CATTER IMPLNATION FOR CHEMOTHERAPY,,
HAT + SALPINGOOFORECTOMIA BILATERAL,HAT + BILATERAL SALPINGOOPHORECTOMY,,
EXPLANTE RENAL PARA DONACION,KIDNEY EXPLANT FOR DONATION,,
HEMITIRODIECTOMIA IZQUIERDA + BIOPSIA,LEFT HEMITYRODIECTOMY + BIOPSY,G8395,Lvef>=40% doc normal or mild
PARATIROIDECTOMIA IZQUIERDA,LEFT PARATHYROIDECTOMY,G8395,Lvef>=40% doc normal or mild
RESECCION DE LIPOMA EN CADERA Y RECONSTRUCCION CON COLGAJO,HIP LIPOMA RESECTION AND FLAP RECONSTRUCTION,,
RESONANCIA MAGNETICA DE ABDOMEN Y PELVIS,MAGNETIC RESONANCE OF ABDOMEN AND PELVIS,,
RESECCION QUISTE LADO IZQUIERDO,LEFT SIDE CYST RESECTION,,
RESECCION BIOPSIA DE TUMORES PARPADOS SUPERIORES AMBOS OJOS,BIOPSY RESECTION OF UPPER EYELID TUMORS BOTH EYES,,
COLPOCLEISIS MAS COLPORRAFIA POSTERIOR.,COLPOCLEISIS PLUS POSTERIOR COLPORRHAPHY.,,
ABLACION DE FOCOS DE ENDOMETROISIS POR LAPAROSCOPIA,ABLATION OF FOCUS OF ENDOMETROISIS BY LAPAROSCOPY,,
ENDOSCOPIA DE VÍA DIGESTIVAS ALTAS,UPPER DIGESTIVE TRACT ENDOSCOPY,C9901,Endo defect closure gi tract
CIRUGIA RECONSTRUCTIVA MANO,HAND RECONSTRUCTIVE SURGERY,E2321,Hand interface joystick
PTERIGECTOMIA OJO IZQUIERDO,LEFT EYE PTERIGECTOMY,G8395,Lvef>=40% doc normal or mild
"LIBERACION NERVIO CUBITAL, TUNEL DEL CARPO MIEMBRO SUPERIOR IZQUIERDO","CUBITAL NERVE RELEASE, CARPAL TUNNEL LEFT UPPER LIMB",,
