input_es,input_en,icd11_code,icd11_title,icd11_uri,icd10cm_code,icd10cm_term
INESTABILIDAD COLUMNA,COLUMN INSTABILITY,,,,C41.2,Malignant neoplasm of vertebral column
DISTONIA CERVICAL,CERVICAL DYSTONIA,,,,M50.20,"Other cervical disc displacement, unspecified cervical region"
DESVIACION DEL TABIQUE NASAL,NASAL SEPTUM DEVIATION,,,,J34.2,Deviated nasal septum
POP RMO MANO IZQUIERDA,POP RMO LEFT HAND,,,,,
CAPSULITIS ADHESIVA DEL HOMBRO IZQUIERDO,ADHESIVE CAPSULITIS OF THE LEFT SHOULDER,,,,M75.02,Adhesive capsulitis of left shoulder
TUMOR DE TEJIDO CONJUNTIVO TEJIDO BLANDO MIEMBRO SUPERIOR,CONNECTIVE TISSUE TUMOR SOFT TISSUE UPPER LIMB,,,,,
MALFORMACIONES CONGENITAS DE LA VAGINA,CONGENITAL MALFORMATIONS OF THE VAGINA,,,,Q52.4,Other congenital malformations of vagina
FISTULA PÉRIANAL.,PERIANAL FISTULA.,,,,K64.5,Perianal venous thrombosis
ENFERMEDAD DE MOYA MOYA,MOYA MOYA DISEASE,,,,I67.5,Moyamoya disease
NODULO PULMONAR LOBULO INF DER,PULMONARY NODULE LOWER DER LOBE,,,,,
TRASTORNO DE ARTICULACION TEMPORAMAXILAR.,TEMPORAMAXILLARY JOINT DISORDER.,,,,M25.9,"Joint disorder, unspecified"
LESION NERVIO MEDIANO,MEDIAN NERVE INJURY,,,,S54.10XS,"Injury of median nerve at forearm level, unspecified arm, sequela"
DESEO DE VASECTOMIA,DESIRE FOR VASECTOMY,,,,F52.0,Hypoactive sexual desire disorder
TUMOR DE PROSTATA.,PROSTATE TUMOR.,,,,A18.14,Tuberculosis of prostate
INSUFICIENCIA VENOSA PERIFERICA,PERIPHERAL VENOUS INSUFFICIENCY,,,,I87.2,Venous insufficiency (chronic) (peripheral)
TUMOR DE ORBITA OD,OD ORBIT TUMOR,,,,K09.0,Developmental odontogenic cysts
2 LIPOMAS ESPALDA,2 BACK LIPOMAS,,,,D48.117,Desmoid tumor of back
RECAIDA GANGLIONAR CERVICAL,CERVICAL GANGLIONAR RECAP,,,,M50.20,"Other cervical disc displacement, unspecified cervical region"
HIPOACUSIA SEVERA,SEVERE HEARING HEARING,,,,Z01.110,Encounter for hearing examination following failed hearing screening
LESION ESCAMOSA,SCAMOUS LESION,,,,M99.9,"Biomechanical lesion, unspecified"
DUQUE,DUKE,,,,,
CANCER DE ENDOMETRIO,ENDOMETRIAL CANCER,,,,N85.00,"Endometrial hyperplasia, unspecified"
CA PIEL NASAL,CA NASAL SKIN,,,,R97.1,Elevated cancer antigen 125 [CA 125]
CUERPO EXTRAÑO OIDO DER,FOREIGN BODY RIGHT EAR,,,,T16.1XXS,"Foreign body in right ear, sequela"
HEMORROIDECTOMIA,HEMORRHOIDECTOMY,,,,,
HERIDA PENETRANTE DE OJO DERECHO,PENETRATING WOUND OF RIGHT EYE,,,,S05.41XS,"Penetrating wound of orbit with or without foreign body, right eye, sequela"
CA DE LOBULO DE OREJA,EAR LOBE AC,,,,H60.331,"Swimmer's ear, right ear"
ESTENOSIS PIELOURETERAL,PIELOURETERAL STENOSIS,,,,I05.0,Rheumatic mitral stenosis
PLACA DE TIBIA,TIBIA PLATE,,,,M96.671,"Fracture of tibia or fibula following insertion of orthopedic implant, joint prosthesis, or bone plate, right leg"
PROTOCOL DE TRANSPLANTE RENAL,KIDNEY TRANSPLANT PROTOCOL,,,,T86.11,Kidney transplant rejection
LESION MENISCO LATERAL,LATERAL MENISCUS INJURY,,,,S83.261S,"Peripheral tear of lateral meniscus, current injury, right knee, sequela"
XANTELASMA PARPADO SUPERIOR DERECHO,XANTHELASMA RIGHT UPPER EYELID,,,,H02.61,Xanthelasma of right upper eyelid
ADENOMA PARATIRODIEO INFERIOR DERECHO,RIGHT LOWER PARATHYRODIAL ADENOMA,,,,,
LESION MANGUITO ROYADOR,ROYATING CUFF INJURY,,,,S46.001S,"Unspecified injury of muscle(s) and tendon(s) of the rotator cuff of right shoulder, sequela"
DOLOR LUMBOSACRO,LUMBOSACRAL PAIN,,,,M51.372,"Other intervertebral disc degeneration, lumbosacral region with discogenic back pain and lower extremity pain"
DOLOR CRONICO EN CADERA,CHRONIC HIP PAIN,,,,M12.051,"Chronic postrheumatic arthropathy [Jaccoud], right hip"
TRASTORNO DE LA CONDUCTA ALIMENTARIA,EATING DISORDER,,,,F50.9,"Eating disorder, unspecified"
PÓLIPO VS MIOMA SUBMUCOSO,POLYP VS SUBMUCOUS MYOMA,,,,,
OSTEOMA EN FRENTE,OSTEOMA IN FRONT,,,,Y02.0XXS,"Assault by pushing or placing victim in front of motor vehicle, sequela"
OSTEOCONDROMA ESCAPULAR IZQUIERDO,LEFT SCAPULAR OSTEOCHONDROMA,,,,T22.062S,"Burn of unspecified degree of left scapular region, sequela"
MASA EN REGION SUBMAXILAR DERECHA,MASS IN RIGHT SUBMAXILLARY REGION,,,,,
CARCINOMA BASOCELULAR PIGMENTADO,PIGMENTED BASAL CELL CARCINOMA,,,,C44.510,Basal cell carcinoma of anal skin
LESION ESCROTAL,SCROTAL INJURY,,,,I86.1,Scrotal varices
SD TUNEL DE CARPO,SD CARPAL TUNNEL,,,,G56.00,"Carpal tunnel syndrome, unspecified upper limb"
CONDICIÓN FIBROQUÍSTICA DE LA MAMA BILATERAL,BILATERAL FIBROCYSTIC CONDITION OF THE BREAST,,,,,
CA DE OVARIOI,CA OF OVARYI,,,,R97.1,Elevated cancer antigen 125 [CA 125]
HIPER METABOLISMO EN EL APÉNDICE CECAL,HYPER METABOLISM IN THE CECAL APPENDIX,,,,,
INESTABILIDAD PATELOFEMORAL RECIDIVANTE RÓTULA IZQUIERDA,RECURRING PATELOFEMORAL INSTABILITY LEFT PALLET,,,,,
TUMOR EN PIEL,SKIN TUMOR,,,,D86.3,Sarcoidosis of skin
DX,DX,,,,,
HIPERTROFIA IMPORTANTE DE LABIOS MENORES,SIGNIFICANT HYPERTROPHY OF THE LUBIA MINOR,,,,,
CATARATA OJO IZDO,LEFT EYE CATARACT,,,,H59.022,"Cataract (lens) fragments in eye following cataract surgery, left eye"
COMPLICACIONES PROTESIS MAMAS,BREAST PROSTHESIS COMPLICATIONS,,,,Z44.30,"Encounter for fitting and adjustment of external breast prosthesis, unspecified breast"
MASAS PÉLVICA EN ESTUDIO,PELVIC MASSES IN STUDY,,,,,
CARCINOMA EN CARA,CARCINOMA ON THE FACE,,,,,
TUMOR DE VEJGA,BLADDER TUMOR,,,,N32.81,Overactive bladder
LUXACIÓN DEL HOMBRO IZQUIERDO,LEFT SHOULDER DISLOCATION,,,,M24.412,"Recurrent dislocation, left shoulder"
FRACTURA DE FEMUR CONSOLIDADA,CONSOLIDATED FEMUR FRACTURE,,,,M84.351S,"Stress fracture, right femur, sequela"
AISTENCIA PARA LA ANTICONCEPCION,CONTRACEPTION ASSISTANCE,,,,Z92.0,Personal history of contraception
"G2C1, EMBA DE 36 SEMANAS","G2C1, 36 WEEK EMBA",,,,,
LESION DEDO 3 MANO IZQ,LEFT 3RD FINGER INJURY,,,,S67.191S,"Crushing injury of left index finger, sequela"
TUMOR OMARIO Y CA MAMA RECURRENTE,RECURRENT OMARY AND BREAST TUMOR,,,,,
LESION COMPLETA DEL NERVIO RADIAL,COMPLETE RADIAL NERVE INJURY,,,,S54.20XS,"Injury of radial nerve at forearm level, unspecified arm, sequela"
BOCIO DIFUSO,DIFFUSE GOITRE,,,,E04.0,Nontoxic diffuse goiter
RESECCION QUISTE PILONIDAL,PILONIDAL CYST RESECTION,,,,L05.01,Pilonidal cyst with abscess
CIV PERIMEMBRANOSA CON ALGO DE REPERCUSION HEMODINAMICA,PERIMEMBRANOUS VSD WITH SOME HEMODYNAMIC IMPACT,,,,,
LIPOMA BRAZO DER,RIGHT ARM LIPOMA,,,,M79.601,Pain in right arm
CALCULO CORALIFORME DEL LADO DERECHO,CORALIFORM CALCULATION OF THE RIGHT SIDE,,,,,
FRACTURA 3 DEDO MANO DERECHA.,FRACTURE 3 FINGER RIGHT HAND.,,,,M84.344S,"Stress fracture, right finger(s), sequela"
LUXACION DE EXTENSOR CARPI ULNARIS DE MUÑECA DER,CARPI ULNARIS EXTENSION LUXATION OF RIGHT WRIST,,,,,
MASA TESTICULO IZQ,LEFT TESTICLE MASS,,,,R93.812,Abnormal radiologic findings on diagnostic imaging of left testicle
OSTEOMA TEMPORAL IZQ,LEFT TEMPORAL OSTEOMA,,,,M94.272,"Chondromalacia, left ankle and joints of left foot"
MICROFATOLMUS OJO IZQ,MICROPHATOLMUS LEFT EYE,,,,H44.322,"Siderosis of eye, left eye"
CANAL LUMBAR ESTECHO SEVERO NIVEL L4-L5,SEVERE LUMBAR STRETCH CANAL LEVEL L4-L5,,,,,
PROLPASO RECTAL,RECTAL PROLPASS,,,,K61.1,Rectal abscess
PROTOCOLO DE TRANSPLANTE HEPATICO  COVID POSITIVO,COVID POSITIVE LIVER TRANSPLANT PROTOCOL,,,,,
FRACTURA FEMUR DEREHCO,RIGHT FEMUR FRACTURE,,,,M84.351S,"Stress fracture, right femur, sequela"
CRISIS DE SUEÑO SUBITO,SUDDEN SLEEP CRISIS,,,,H53.133,"Sudden visual loss, bilateral"
LESION TEMPORAL IZQUIERDA,LEFT TEMPORARY INJURY,,,,H93.242,"Temporary auditory threshold shift, left ear"
BOLA FUNGICA,FUNGI BALL,,,,T60.3X1A,"Toxic effect of herbicides and fungicides, accidental (unintentional), initial encounter"
HERNIA  INGUINAL DERECHA,RIGHT INGUINAL HERNIA,,,,N83.41,Prolapse and hernia of right ovary and fallopian tube
HERNIAS,HERNIAS,,,,,
FRACTURA RADIO DISTAL,DISTAL RADIO FRACTURE,,,,S62.521S,"Displaced fracture of distal phalanx of right thumb, sequela"
RECTOCELE,RECTOCELE,,,,N81.6,Rectocele
LABIO HENDIDO DER,RIGHT Cleft LIP,,,,Q36.0,"Cleft lip, bilateral"
LESION SUBEPITELIAL COLON SIGMOIDE,SUBEPITHELIAL LESION SIGMOID COLON,,,,,
LESION ESCAPULA IZQ,LEFT SCAPULAR INJURY,,,,T22.062S,"Burn of unspecified degree of left scapular region, sequela"
SINDRO DE TUNEL DEL CARPO MANO DERECHO,RIGHT HAND CARPAL TUNNEL SYNDRO,,,,,
"PARIDAD SATISFECHA.,","SATISFIED PARITY.,",,,,,
DEDO EN GATILLO PULGAR DE LA MANO IZQUIERDA,TRIGGER FINGER THUMB OF THE LEFT HAND,,,,,
ALTERACION EN PI,ALTERATION IN PI,,,,R40.4,Transient alteration of awareness
TRASTORNOS DEL COMPORTAMINTO A ESTUDIO,BEHAVIORAL DISORDERS UNDER STUDY,,,,,
HIDROCELE IZQUIERDA,LEFT HYDROCELE,,,,M94.272,"Chondromalacia, left ankle and joints of left foot"
DESCARTAR EPILEPSIA,RULE OUT EPILEPSY,,,,Z03.6,Encounter for observation for suspected toxic effect from ingested substance ruled out
COLELITIASIS SIN COLECISTITIS Y COLÉDOCO DE 9.8 MM,CHOLELITHIASIS WITHOUT CHOLECYSTITIS AND COMMON COMBLE DUCT OF 9.8 MM,,,,,
"TCE, FOSFNOS A ESTUDIO","TCE, PHOSPHNOS UNDER STUDY",,,,,
COLELAP Y HERNIORRAFIA UMBILICAL,COLELAP AND UMBILICAL HERNIORRHAPHY,,,,,
EMBARAZO A TÉRMINBO,TERM PREGNANCY,,,,O48.0,Post-term pregnancy
TU BENIGNO GLUTEO IZDA/LESION MENISCAL/INFLAMACION CADERA,YOUR BENIGN LEFT GUTEOUS/MENISCAL INJURY/HIP INFLAMMATION,,,,,
LUXACION HOMBRO IZQUIERDO.,LEFT SHOULDER DISLOCATION.,,,,M24.412,"Recurrent dislocation, left shoulder"
VARICES TIPO I-II,TYPE I-II VARICES,,,,S52.271B,"Monteggia's fracture of right ulna, initial encounter for open fracture type I or II"
MASA EN REGION TORACICA,MASS IN THORACIC REGION,,,,M49.84,"Spondylopathy in diseases classified elsewhere, thoracic region"
TUMOR DE GIST,GIST TUMOR,,,,D48.112,"Desmoid tumor, intrathoracic"
PRDIDA MASIVA DE PESO,MASSIVE WEIGHT LOSS,,,,R63.4,Abnormal weight loss
PALADR FISURADO,Cleft palate,,,,Q35.5,Cleft hard palate with cleft soft palate
FRACTURA DE DIAFISIS DE HUMERO,HUMEROUS DIAPHYSIS FRACTURE,,,,,
TUMOR BENIGNO DE PARPADO,BENIGN EYELID TUMOR,,,,D23.10,"Other benign neoplasm of skin of unspecified eyelid, including canthus"
GRAN MIOMA UTERINO,LARGE UTERINE MYOMA,,,,L41.4,Large plaque parapsoriasis
HALLUX VALGUS MODERADO BILATERAL,BILATERAL MODERATE HALLUX VALGUS,,,,,
CIRROSIS CHILD B,CIRRHOSIS CHILD B,,,,K74.3,Primary biliary cirrhosis
DEFORMIDAD DEDO MANO POP,POP HAND FINGER DEFORMITY,,,,Q68.1,Congenital deformity of finger(s) and hand
TENOSINOVITIS DE FLEXOR LARGO DE PULGHAR DEMANO DERECHA,TENOSYNOVITIS OF FLEXOR LONG PULGHAR RIGHT HAND,,,,,
QUISTE EPIDERMICO OJO DER,EPIDERMAL CYST OF RIGHT EYE,,,,,
HIPERTROIA DE MAMAS,BREAST HYPERTROIA,,,,S20.00XS,"Contusion of breast, unspecified breast, sequela"
FRACTURA DE FÉMUR IZQ,LEFT FEMUR FRACTURE,,,,M84.352S,"Stress fracture, left femur, sequela"
SOSPECHA DE ACV TRANSITORIO,SUSPECTED TRANSIENT CVA,,,,T76.11XS,"Adult physical abuse, suspected, sequela"
LLA .,LLA.,,,,,
NEVUS SEBÁCEO DE JADAHSON EN CUERO CABELLUDO,NEVUS SEBACEUS OF JADAHSON IN SCALP,,,,,
ARTROFIBROSIS DEL HOMBRO DERECHO,ARTHROFIBROSIS OF THE RIGHT SHOULDER,,,,,
RESECCION DE LESION DE PARED ABDOMINAL,ABDOMINAL WALL LESION RESECTION,,,,,
OSTEOCONDRITIS DISECANTE,OSTEOCHONDRITIS DISSECANS,,,,M93.211,"Osteochondritis dissecans, right shoulder"
MALFORMACION ARTERIOVENOSA TEMPOROPARIETAL DERECHA,RIGHT TEMPOROPARIETAL ARTERIOVENOUS MALFORMATION,,,,,
MASA  EN PANCREA,PANCREA MASS,,,,B25.2,Cytomegaloviral pancreatitis
ENFERMEDAD ACIDOPEPTICA,ACIDOPEPTIC DISEASE,,,,A48.1,Legionnaires' disease
SCHWANOMA,SCHWANOMA,,,,,
EMBARAZO 36 SS,PREGNANCY 36 SS,,,,O00.00,Abdominal pregnancy without intrauterine pregnancy
ABSCESO POST-ANAL,POST-ANAL ABSCESS,,,,K61.0,Anal abscess
SINDROME NIGROESTRIATAL,NIGRESTRIATAL SYNDROME,,,,D68.61,Antiphospholipid syndrome
DLOR BDOMINAL,BDOMINAL PAIN,,,,N50.82,Scrotal pain
LESION ANTEBRAZO IZQ,LEFT FOREARM INJURY,,,,S57.82XS,"Crushing injury of left forearm, sequela"
ANTEROLISTESIS EN VERTEBRS LUMBARES .,ANTEROLISTHESIS IN LUMBAR VERTEBRS.,,,,,
OBSTRUCCION NASAL SEVER,SEVERE NASAL OBSTRUCTION,,,,F50.23,"Bulimia nervosa, severe"
CA DE TESTÍCULO,CA OF TESTICLE,,,,R93.811,Abnormal radiologic findings on diagnostic imaging of right testicle
OTO ESCLEROSIS,OTO SCLEROSIS,,,,H80.00,"Otosclerosis involving oval window, nonobliterative, unspecified ear"
OSTEOSINTESIS DEL CUBITO,OSTEOSYNTHESIS OF THE CUBA,,,,,
ARTROSIS SEVERA TRAPECIOMETACARPIANA DE MANOD ERECHA,SEVERE TRAPECIOMETACARPAL ARTHROSIS OF THE RIGHT HAND,,,,,
NEOPLASIA DE RECTO INFERIOR,LOWER RECTUS NEOPLASM,,,,C03.1,Malignant neoplasm of lower gum
TUMOR EN OVARIO,OVARIAN TUMOR,,,,Q50.32,Ovarian streak
FRACTURA MATERIAL DE OSTEOSINTESIS COLUMNA,COLUMN OSTEOSYNTHESIS MATERIAL FRACTURE,,,,,
LESION LCA RODLLA DERECHA,RIGHT KNEE ACL INJURY,,,,S87.01XS,"Crushing injury of right knee, sequela"
MIOMA POSTERIOR,POSTERIOR MYOMA,,,,G83.83,Posterior cord syndrome
TUMOR MALIGNO DE HUMERO,Malignant tumor of the humerus,,,,C7A.010,Malignant carcinoid tumor of the duodenum
ESCOLIOSIS IDIOPATICA SINTOMATICA,SYMPTOMATIC IDIOPATHIC SCOLIOSIS,,,,M41.00,"Infantile idiopathic scoliosis, site unspecified"
TENDON ACCESORIO PULGAR.,THUMB ACCESSORY TENDON.,,,,Q69.1,Accessory thumb(s)
CA  DE MAMA,MAMA'S CA,,,,,
FIBROADENOMA DE MAMA IZQUIERDA,LEFT BREAST FIBROADENOMA,,,,S20.112S,"Abrasion of breast, left breast, sequela"
"DESGARRO DE MENISCO, CONDROMALACIA","MENISCUS TEAR, CHONDROMALACIA",,,,S83.203S,"Other tear of unspecified meniscus, current injury, right knee, sequela"
DIU MAS COLON IRRITABLE.,IUD PLUS IRRITABLE COLON.,,,,,
BARRA MEDIAL TALO CALCANEO IZQ,MEDIAL BAR TALO CALCANEUS LEFT,,,,,
ANEURISMA INTRAABDOMINAL.,INTRAABDOMINAL ANEURYSM.,,,,D48.114,"Desmoid tumor, intraabdominal"
TRAUMA INDIRECTO EN EL HOMBRO IZQUIERDO,INDIRECT TRAUMA TO THE LEFT SHOULDER,,,,,
GASTROPATIA,GASTROPATHY,,,,,
TUMOR QUISTICO COMPLEJO ABDOMINOPELVICO ANEXIAL DERECHO,RIGHT ANNEXAL ABDOMINOPELVIC COMPLEX CYSTIC TUMOR,,,,,
CBC PARPADO INFERIOR DER,CBC RIGHT LOWER EYELID,,,,H02.532,Eyelid retraction right lower eyelid
"AMIGDALECTOMIA, ADENOIDES, TURBINOPLASTIA","TONSILLECTOMY, ADENOIDS, TURBINOPLASTY",,,,,
OBSTRUCCION VIA BILIAR,BILE WAY OBSTRUCTION,,,,K83.1,Obstruction of bile duct
ENF DE PERTHES,PERTHES ENF,,,,M91.10,"Juvenile osteochondrosis of head of femur [Legg-Calve-Perthes], unspecified leg"
SECUELAS QX EN LABIO Y MENTÓN,QX SEQUELS ON LIP AND CHIN,,,,,
ENCONDROMA,ENCHONDROMA,,,,Q78.4,Enchondromatosis
TUMOR BENIGNO DE MANO FALANGE 4 DEDO,BENIGN HAND TUMOR PHALANGE 4 FINGER,,,,,
GLAUCOMA OJO IZQ,LEFT EYE GLAUCOMA,,,,H40.822,"Hypersecretion glaucoma, left eye"
LESION CONDRAL RODILLA DERECHA,CHONDRAL INJURY OF RIGHT KNEE,,,,,
MIOMA GINGANTE,GIANT MIOMA,,,,M27.1,"Giant cell granuloma, central"
DERMATOCALASIA MODERADA EN ABDOMEN INFERIOR Y  CICATRIZ HIPERTROFICA,MODERATE DERMATOCHALASIA IN LOWER ABDOMEN AND HYPERTROPHIC SCAR,,,,,
ADENOMIOSIS E ITSMOCELE UTERINO,ADENOMIOSIS AND UTERINE ITSMOCELE,,,,,
CICATRIZ QUELAIDE.,CHELAID SCAR.,,,,L91.0,Hypertrophic scar
HIPOSPADIAS CORROBSTRUCCION DEL MEATOGIDA-,HYPOSPADIAS CORROBSTRUCTION OF THE MEATOGIDA-,,,,,
LESION VAGINAL,VAGINAL INJURY,,,,N81.5,Vaginal enterocele
LESION MENISCOS RODILLA DERECHA.,RIGHT KNEE MENISCUS INJURY.,,,,S83.203S,"Other tear of unspecified meniscus, current injury, right knee, sequela"
TENOSINOVITIS DE FLEXORES DE 4 DEDO,TENOSYNOVITIS OF 4 FINGER FLEXORS,,,,,
MASA EPICONDILO MEDIAL IZQUIERDO,LEFT MEDIAL EPICONDYLE MASS,,,,S42.442S,"Displaced fracture (avulsion) of medial epicondyle of left humerus, sequela"
SINDROME CONSTITUCIONAL,CONSTITUTIONAL SYNDROME,,,,E34.31,Constitutional short stature
DEFORMINDAD FEMUR IZQUIERDO,LEFT FEMUR DEFORMITY,,,,M86.252,"Subacute osteomyelitis, left femur"
ADENOMIOSIS+DOLOR PELVICO 2RIO,ADENOMIOSIS+2RIO PELVIC PAIN,,,,,
CA ANAL,CA ANAL,,,,R97.1,Elevated cancer antigen 125 [CA 125]
CALCUO RIÑON,KIDNEY CALCULATION,,,,N26.2,Page kidney
POP FRACTURA METACARPIANO,POP METACARPAL FRACTURE,,,,S62.308S,"Unspecified fracture of other metacarpal bone, sequela"
LESION EPIDIMO,EPIDYMOUS INJURY,,,,P15.2,Sternomastoid injury due to birth injury
ADENOCARCINOMA DE TIPO DIFUSO,DIFFUSE TYPE ADENOCARCINOMA,,,,E04.0,Nontoxic diffuse goiter
RUPTURA DE TENDON FLEXOR LARGO DE PULGAR,RUPTURE OF LONG FLEXOR TENDON OF THUMB,,,,,
LESION ANEXIAL IZQUIERDA,LEFT ANNEXAL INJURY,,,,S35.512S,"Injury of left iliac artery, sequela"
LEISON DE LIGAMENTO ESCAFOSEMILUNAR DE MUÑECA IZQ,LEISON OF SQUAPHOLMUNAR LIGAMENT OF LEFT WRIST,,,,,
ADENOMA TUBULOVELLOSOS,TUBULOVILLOUS ADENOMA,,,,D13.91,Familial adenomatous polyposis
FRATCURA DE FP DE 3R DEDO,FP FRACTURE OF 3RD FINGER,,,,,
RUPTURA DE MANGUITO ROTADOR IZQUIERDA,RUPTURE OF LEFT ROTATOR Cuff,,,,M75.102,"Unspecified rotator cuff tear or rupture of left shoulder, not specified as traumatic"
MASA PARPADO INFERIOR IZQUIERDO,LEFT LOWER EYELID MASS,,,,H02.535,Eyelid retraction left lower eyelid
POLIPO TUMORAL EN COLÓN,TUMORAL POLYP IN COLON,,,,,
FALANGE DISTAL  DE 5O DEDO EXPUESTA,DISTAL PHALANGE OF 5TH FINGER EXPOSED,,,,,
EPICONDILITIS MEDIAL DE CODO DERECHO,MEDIAL EPICONDILITIS OF THE RIGHT ELBOW,,,,,
NODULO PIE DERECHO,RIGHT FOOT NODULE,,,,M06.371,"Rheumatoid nodule, right ankle and foot"
ADENOMA RECTAL,RECTAL ADENOMA,,,,K61.1,Rectal abscess
CATARATA OJO IZUIERDO,LEFT EYE CATARACT,,,,H59.022,"Cataract (lens) fragments in eye following cataract surgery, left eye"
HIPOACUSIA MIXTA,MIXED HYPOACUSIA,,,,E78.2,Mixed hyperlipidemia
METAPALSIA GASTRICA,GASTRIC METAPALSIA,,,,I86.4,Gastric varices
LESION DE MENISCO DE RODILLA IZQUIERDA,LEFT KNEE MENISCUS INJURY,,,,S83.204S,"Other tear of unspecified meniscus, current injury, left knee, sequela"
G2A1 EMBARAZO DE 38 SEMANAS,G2A1 38 WEEKS PREGNANCY,,,,Z3A.08,8 weeks gestation of pregnancy
ENDOMETRIOMA OVARICO IZQ,LEFT OVARIAN ENDOMETRIOMA,,,,N83.202,"Unspecified ovarian cyst, left side"
PEZON ACCESORIO,ACCESSORY NIPPLE,,,,Q83.3,Accessory nipple
TUMOR DE CELULAS GIGANTES MANO IZQUIERDA,GIANT CELL TUMOR LEFT HAND,,,,,
HERNIA INCISIONAL EN REGION DE ANASTOMOSIS,INCISIONAL HERNIA IN ANASTOMOSIS REGION,,,,,
LESION DE PLEXO BRAQUIAL IZQUIERDO,LEFT BRACHIAL PLEXUS INJURY,,,,S45.102S,"Unspecified injury of brachial artery, left side, sequela"
MASA MAMA IZQUIERDA,LEFT BREAST DOUGH,,,,S20.112S,"Abrasion of breast, left breast, sequela"
DOLOR CERVICAL Y LUMBAR,CERVICAL AND LUMBAR PAIN,,,,M51.362,"Other intervertebral disc degeneration, lumbar region with discogenic back pain and lower extremity pain"
RACTURA DCLE MCUERP DLE ESCAFOIDES TRAZO TRASNVERSO COMPELTO,RACTURE DLE MCUERP DLE SCAPHOID COMPLETE TRANSVERSE TRACE,,,,,
ENDOMTRIOSIS,ENDOMTRIOSIS,,,,,
RETRACCIÓN DE PREPUCIO,FORESPUCE RETRACTION,,,,N64.53,Retraction of nipple
FIMOSIS-TESTICULO NO DESCENDIDO,PHIOSIS-UNDESCENDED TESTICLE,,,,Q53.9,"Undescended testicle, unspecified"
INESTABILIDAD PATELOFEMORAL,PATELOFEMORAL INSTABILITY,,,,M25.30,"Other instability, unspecified joint"
"TUNEL DEL CARPO , DEDO EN GATILLO MANO IZQUIERDA","CARPAL TUNNEL, LEFT HAND TRIGGER FINGER",,,,,
TUMOR EM MUSLO,TUMOR IN THE THIGH,,,,,
HALLUX VALGO DERECHO,HALLUX RIGHT VALGUUS,,,,M20.21,"Hallux rigidus, right foot"
ADENOPATIA AXILAR,AXILLARY DENOPATHY,,,,S44.30XS,"Injury of axillary nerve, unspecified arm, sequela"
POODALICO,POODALIC,,,,,
LESIONES DENTALES,DENTAL INJURIES,,,,K02.3,Arrested dental caries
TRAUMA DENTAL,DENTAL TRAUMA,,,,K02.3,Arrested dental caries
"EPICONDILITIS, TUNEL CARPO","EPICONDILITIS, CARPAL TUNNEL",,,,G56.00,"Carpal tunnel syndrome, unspecified upper limb"
ENDOMETRIOMA DE OVARIO DERECHO,RIGHT OVARIAN ENDOMETRIOMA,,,,N83.201,"Unspecified ovarian cyst, right side"
SOSPECHA SINDROME LINFOPROLIFERATIVO,SUSPECTED LYMPHOPROLIFERATIVE SYNDROME,,,,O35.14X1,"Maternal care for (suspected) chromosomal abnormality in fetus, Turner Syndrome, fetus 1"
CA DE LENGUA,TONGUE AC,,,,K14.1,Geographic tongue
HEMANGIOMA BRAZO,ARM HEMANGIOMA,,,,S47.9XXS,"Crushing injury of shoulder and upper arm, unspecified arm, sequela"
MALFORMACION VASCULAR LENGUA,TONGUE VASCULAR MALFORMATION,,,,Q27.9,"Congenital malformation of peripheral vascular system, unspecified"
HERIDA ANTEBRAZO DERECHO,RIGHT FOREARM WOUND,,,,S51.801S,"Unspecified open wound of right forearm, sequela"
TUMOR PHYLODES BENIGNO MAMA IZQUIERDA,BENIGN PHYLODES TUMOR LEFT BREAST,,,,,
LESION EN HIOIDES,HYOID INJURY,,,,P15.2,Sternomastoid injury due to birth injury
PARALISIS TERCER PAR,THIRD PAIR PARALYSIS,,,,K64.2,Third degree hemorrhoids
HIPERTROFIA DE ADENOIDES + CORNETES + AMIGDALAS,HYPERTROPHY OF ADENOIDS + CORNETES + TONSILS,,,,J35.3,Hypertrophy of tonsils with hypertrophy of adenoids
MATERIAL DE OTS CODO IZQUIERDO,LEFT ELBOW OTS MATERIAL,,,,,
"HERNIA UMBILICAL REPRODUCIDA, HERNIA EPIGASTRICA, HERNIAS INGUINALES BILATERALES","REPRODUCED UMBILICAL HERNIA, EPIGASTRIC HERNIA, BILATERAL INGUINAL HERNIA",,,,,
LESIÓN EN PARPADO SUPERIOR IZQUIERDO,LEFT UPPER EYELID INJURY,,,,H02.534,Eyelid retraction left upper eyelid
DESLIZAMIENTO EPIFISIARIO,EPIPHYSEAL SLIDE,,,,W09.0XXS,"Fall on or from playground slide, sequela"
HERNIA INGUINAL BILATERAL .,BILATERAL INGUINAL HERNIA.,,,,K40.11,"Bilateral inguinal hernia, with gangrene, recurrent"
TUMORACIÓN EN PIE DERECHO,TUMORATION IN THE RIGHT FOOT,,,,,
CX PLASTICA,CX PLASTIC,,,,Z18.2,Retained plastic fragments
ADENOPATIA EN CUELLO LADO IZQ,ADENOPATHY IN THE LEFT SIDE NECK,,,,,
PROLAPSO CUPULA VAGINAL,VAGINAL DOME PROLAPSE,,,,N99.3,Prolapse of vaginal vault after hysterectomy
LABIO  Y PALADAR HENDIDO IZQUIERDO,LEFT CLEFT LIP AND PALATE,,,,,
